transit_timestamp,station_complex,borough,fare_class_category,ridership,transfers
4/30/25 23:00,23 St-Baruch College (6),Manhattan,OMNY - Seniors & Disability,5,0
4/30/25 23:00,23 St-Baruch College (6),Manhattan,Metrocard - Full Fare,23,1
4/30/25 23:00,23 St-Baruch College (6),Manhattan,OMNY - Students,15,1
4/30/25 23:00,23 St-Baruch College (6),Manhattan,Metrocard - Fair Fare,16,0
4/30/25 23:00,23 St-Baruch College (6),Manhattan,Metrocard - Other,6,0
4/30/25 23:00,23 St-Baruch College (6),Manhattan,Metrocard - Unlimited 7-Day,36,0
4/30/25 23:00,23 St-Baruch College (6),Manhattan,OMNY - Fair Fare,4,0
4/30/25 23:00,23 St-Baruch College (6),Manhattan,Metrocard - Seniors & Disability,4,0
4/30/25 23:00,23 St-Baruch College (6),Manhattan,Metrocard - Unlimited 30-Day,24,0
4/30/25 23:00,23 St-Baruch College (6),Manhattan,OMNY - Full Fare,206,1
4/30/25 22:00,23 St-Baruch College (6),Manhattan,OMNY - Full Fare,414,9
4/30/25 22:00,23 St-Baruch College (6),Manhattan,Metrocard - Unlimited 30-Day,35,0
4/30/25 22:00,23 St-Baruch College (6),Manhattan,OMNY - Seniors & Disability,19,0
4/30/25 22:00,23 St-Baruch College (6),Manhattan,OMNY - Other,4,1
4/30/25 22:00,23 St-Baruch College (6),Manhattan,Metrocard - Fair Fare,15,0
4/30/25 22:00,23 St-Baruch College (6),Manhattan,Metrocard - Unlimited 7-Day,35,0
4/30/25 22:00,23 St-Baruch College (6),Manhattan,Metrocard - Full Fare,24,0
4/30/25 22:00,23 St-Baruch College (6),Manhattan,Metrocard - Seniors & Disability,1,0
4/30/25 22:00,23 St-Baruch College (6),Manhattan,OMNY - Fair Fare,9,1
4/30/25 22:00,23 St-Baruch College (6),Manhattan,OMNY - Students,16,1
4/30/25 22:00,23 St-Baruch College (6),Manhattan,Metrocard - Other,11,0
4/30/25 21:00,23 St-Baruch College (6),Manhattan,OMNY - Students,27,0
4/30/25 21:00,23 St-Baruch College (6),Manhattan,OMNY - Full Fare,550,11
4/30/25 21:00,23 St-Baruch College (6),Manhattan,OMNY - Fair Fare,11,0
4/30/25 21:00,23 St-Baruch College (6),Manhattan,Metrocard - Other,16,0
4/30/25 21:00,23 St-Baruch College (6),Manhattan,Metrocard - Unlimited 30-Day,43,0
4/30/25 21:00,23 St-Baruch College (6),Manhattan,Metrocard - Seniors & Disability,6,0
4/30/25 21:00,23 St-Baruch College (6),Manhattan,OMNY - Seniors & Disability,21,1
4/30/25 21:00,23 St-Baruch College (6),Manhattan,Metrocard - Unlimited 7-Day,28,0
4/30/25 21:00,23 St-Baruch College (6),Manhattan,Metrocard - Fair Fare,30,0
