transit_timestamp,station_complex,fare_class_category,ridership,transfers
4/30/26 23:00,23 St-Baruch College (6),OMNY - Full Fare,309,8
4/30/26 23:00,23 St-Baruch College (6),OMNY - Students,16,0
4/30/26 23:00,23 St-Baruch College (6),OMNY - Seniors & Disability,16,2
4/30/26 23:00,23 St-Baruch College (6),OMNY - Other,2,0
4/30/26 23:00,23 St-Baruch College (6),Metrocard - Other,2,0
4/30/26 23:00,23 St-Baruch College (6),OMNY - Fair Fare,10,1
4/30/26 22:00,23 St-Baruch College (6),OMNY - Students,18,0
4/30/26 22:00,23 St-Baruch College (6),OMNY - Fair Fare,23,0
4/30/26 22:00,23 St-Baruch College (6),OMNY - Other,8,0
4/30/26 22:00,23 St-Baruch College (6),OMNY - Full Fare,498,8
4/30/26 22:00,23 St-Baruch College (6),OMNY - Seniors & Disability,26,3
4/30/26 21:00,23 St-Baruch College (6),Metrocard - Other,3,0
4/30/26 21:00,23 St-Baruch College (6),OMNY - Full Fare,779,7
4/30/26 21:00,23 St-Baruch College (6),Metrocard - Unlimited 30-Day,2,0
4/30/26 21:00,23 St-Baruch College (6),OMNY - Seniors & Disability,28,1
4/30/26 21:00,23 St-Baruch College (6),OMNY - Fair Fare,57,0
4/30/26 21:00,23 St-Baruch College (6),OMNY - Students,39,0
4/30/26 21:00,23 St-Baruch College (6),OMNY - Other,13,0
4/30/26 20:00,23 St-Baruch College (6),OMNY - Other,17,0
4/30/26 20:00,23 St-Baruch College (6),OMNY - Seniors & Disability,46,2
4/30/26 20:00,23 St-Baruch College (6),OMNY - Fair Fare,94,1
4/30/26 20:00,23 St-Baruch College (6),OMNY - Full Fare,"1,228",11
4/30/26 20:00,23 St-Baruch College (6),Metrocard - Other,4,0
4/30/26 20:00,23 St-Baruch College (6),OMNY - Students,72,0
4/30/26 19:00,23 St-Baruch College (6),OMNY - Fair Fare,92,1
4/30/26 19:00,23 St-Baruch College (6),Metrocard - Full Fare,1,0
4/30/26 19:00,23 St-Baruch College (6),OMNY - Other,24,0
4/30/26 19:00,23 St-Baruch College (6),Metrocard - Unlimited 30-Day,1,0
4/30/26 19:00,23 St-Baruch College (6),OMNY - Full Fare,"1,354",23
4/30/26 19:00,23 St-Baruch College (6),OMNY - Students,79,1
4/30/26 19:00,23 St-Baruch College (6),Metrocard - Other,3,0
4/30/26 19:00,23 St-Baruch College (6),OMNY - Seniors & Disability,54,5
4/30/26 18:00,23 St-Baruch College (6),OMNY - Other,17,0
4/30/26 18:00,23 St-Baruch College (6),Metrocard - Unlimited 30-Day,1,0
4/30/26 18:00,23 St-Baruch College (6),OMNY - Fair Fare,70,0
4/30/26 18:00,23 St-Baruch College (6),Metrocard - Other,5,0
4/30/26 18:00,23 St-Baruch College (6),OMNY - Full Fare,"1,727",33
4/30/26 18:00,23 St-Baruch College (6),OMNY - Seniors & Disability,78,8
4/30/26 18:00,23 St-Baruch College (6),OMNY - Students,110,3
